#* Remote control CODEs captured on ESP IR receiver with dump NEC enabled
# Button names starting with "??" are not on remote, but remote behavior reflects it
# Pawelo, 20241219, Capturing Apple TV and Smart TV remote codes
# Pawelo, 20241220, Capturing LG TV, Yamaha AV and Yamaha BD remote codes
# Pawelo, 20241220, Capturing CREATIVE remote codes

Remote Model,Button,CODE sent by remote
Yamaha A810 (RAV447) - 2nd ZONE,2,Received NEC: address=0x017F, command=0x8D72 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,3,Received NEC: address=0x017F, command=0x8C73 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,4,Received NEC: address=0x017F, command=0x8B74 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,5,Received NEC: address=0x017F, command=0x8A75 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,6,Received NEC: address=0x017F, command=0x8976 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,7,Received NEC: address=0x017F, command=0x8877 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,8,Received NEC: address=0x017F, command=0x8778 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,9,Received NEC: address=0x017F, command=0x8679 command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,0,Received NEC: address=0x017F, command=0x857A command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,PLUS_10,Received NEC: address=0x017F, command=0x847B command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,ENT,Received NEC: address=0x017F, command=0x837C command_repeats=1
Yamaha A810 (RAV447) - 2nd ZONE,HDMI_OUT,Received NEC: address=0x017F, command=0x0A53 command_repeats=1
Yamaha BDS671 (BDP118),POWER,Received NEC: address=0x837C, command=0x7F80 command_repeats=1
Yamaha BDS671 (BDP118),EJECTCD,Received NEC: address=0x837C, command=0x7E81 command_repeats=1
Yamaha BDS671 (BDP118),RED,Received NEC: address=0x837C, command=0x16E9 command_repeats=1
Yamaha BDS671 (BDP118),PROGRAM,Received NEC: address=0x837C, command=0x16E9 command_repeats=1
Yamaha BDS671 (BDP118),GREEN,Received NEC: address=0x837C, command=0x15EA command_repeats=1
Yamaha BDS671 (BDP118),MARKER,Received NEC: address=0x837C, command=0x15EA command_repeats=1
Yamaha BDS671 (BDP118),YELLOW,Received NEC: address=0x837C, command=0x13EC command_repeats=1
Yamaha BDS671 (BDP118),DIGEST,Received NEC: address=0x837C, command=0x13EC command_repeats=1
Yamaha BDS671 (BDP118),BLUE,Received NEC: address=0x837C, command=0x14EB command_repeats=1
Yamaha BDS671 (BDP118),ZOOM,Received NEC: address=0x837C, command=0x14EB command_repeats=1
Yamaha BDS671 (BDP118),1,Received NEC: address=0x837C, command=0x6B94 command_repeats=1
Yamaha BDS671 (BDP118),2,Received NEC: address=0x837C, command=0x6A95 command_repeats=1
Yamaha BDS671 (BDP118),3,Received NEC: address=0x837C, command=0x6996 command_repeats=1
Yamaha BDS671 (BDP118),4,Received NEC: address=0x837C, command=0x6897 command_repeats=1
Yamaha BDS671 (BDP118),5,Received NEC: address=0x837C, command=0x6798 command_repeats=1
Yamaha BDS671 (BDP118),6,Received NEC: address=0x837C, command=0x6699 command_repeats=1
Yamaha BDS671 (BDP118),7,Received NEC: address=0x837C, command=0x659A command_repeats=1
Yamaha BDS671 (BDP118),8,Received NEC: address=0x837C, command=0x649B command_repeats=1
Yamaha BDS671 (BDP118),9,Received NEC: address=0x837C, command=0x639C command_repeats=1
Yamaha BDS671 (BDP118),0,Received NEC: address=0x837C, command=0x6C93 command_repeats=1
Yamaha BDS671 (BDP118),STATUS,Received NEC: address=0x837C, command=0x57A8 command_repeats=1
Yamaha BDS671 (BDP118),SUBTITLE,Received NEC: address=0x837C, command=0x54AB command_repeats=1
Yamaha BDS671 (BDP118),ANGLE,Received NEC: address=0x837C, command=0x51AE command_repeats=1
Yamaha BDS671 (BDP118),AUDIO,Received NEC: address=0x837C, command=0x52AD command_repeats=1
Yamaha BDS671 (BDP118),CLEAR,Received NEC: address=0x837C, command=0x609F command_repeats=1
Yamaha BDS671 (BDP118),SEARCH,Received NEC: address=0x837C, command=0x619E command_repeats=1
Yamaha BDS671 (BDP118),PIP,Received NEC: address=0x837C, command=0x12ED command_repeats=1
Yamaha BDS671 (BDP118),SETUP,Received NEC: address=0x837C, command=0x53AC command_repeats=1
Yamaha BDS671 (BDP118),REPEAT,Received NEC: address=0x837C, command=0x5CA3 command_repeats=1
Yamaha BDS671 (BDP118),2ND_AUDIO,Received NEC: address=0x837C, command=0x11EE command_repeats=1
Yamaha BDS671 (BDP118),HOME,Received NEC: address=0x837C, command=0x10EF command_repeats=1
Yamaha BDS671 (BDP118),A_B,Received NEC: address=0x837C, command=0x5BA4 command_repeats=1
Yamaha BDS671 (BDP118),TOP_MENU,Received NEC: address=0x837C, command=0x4EB1 command_repeats=1
Yamaha BDS671 (BDP118),POPUP_MENU,Received NEC: address=0x837C, command=0x30CF command_repeats=1
Yamaha BDS671 (BDP118),RETURN,Received NEC: address=0x837C, command=0x48B7 command_repeats=1
Yamaha BDS671 (BDP118),UP,Received NEC: address=0x837C, command=0x4BB4 command_repeats=1
Yamaha BDS671 (BDP118),DOWN,Received NEC: address=0x837C, command=0x4CB3 command_repeats=1
Yamaha BDS671 (BDP118),LEFT,Received NEC: address=0x837C, command=0x4AB5 command_repeats=1
Yamaha BDS671 (BDP118),RIGHT,Received NEC: address=0x837C, command=0x49B6 command_repeats=1
Yamaha BDS671 (BDP118),ENTER,Received NEC: address=0x837C, command=0x47B8 command_repeats=1
Yamaha BDS671 (BDP118),?? OK,Received NEC: address=0x837C, command=0x47B8 command_repeats=1
Yamaha BDS671 (BDP118),ON_SCREEN,Received NEC: address=0x837C, command=0x59A6 command_repeats=1
Yamaha BDS671 (BDP118),STOP,Received NEC: address=0x837C, command=0x7A85 command_repeats=1
Yamaha BDS671 (BDP118),PAUSE,Received NEC: address=0x837C, command=0x7C83 command_repeats=1
Yamaha BDS671 (BDP118),PLAY,Received NEC: address=0x837C, command=0x7D82 command_repeats=1
Yamaha BDS671 (BDP118),FRAMEBACK,Received NEC: address=0x837C, command=0x718E command_repeats=1
Yamaha BDS671 (BDP118),FRAMEFORWARD,Received NEC: address=0x837C, command=0x708F command_repeats=1
Yamaha BDS671 (BDP118),REWIND,Received NEC: address=0x837C, command=0x7986 command_repeats=1
Yamaha BDS671 (BDP118),FORWARD,Received NEC: address=0x837C, command=0x7887 command_repeats=1
Yamaha BDS671 (BDP118),FRSMESBACK,Received NEC: address=0x837C, command=0x3CC3 command_repeats=1
Yamaha BDS671 (BDP118),FRAMESFORWARD,Received NEC: address=0x837C, command=0x3DC2 command_repeats=1
Yamaha BDS671 (BDP118),SKIPBACK,Received NEC: address=0x837C, command=0x46B9 command_repeats=1
Yamaha BDS671 (BDP118),SKIPFORWARD,Received NEC: address=0x837C, command=0x45BA command_repeats=1
CREATIVE,POWER,Received NEC: address=0x44C1, command=0x7A85 command_repeats=1
CREATIVE,MUTE,Received NEC: address=0x44C1, command=0x8A75 command_repeats=1
CREATIVE,SELECT,Received NEC: address=0x44C1, command=0x9A65 command_repeats=1
CREATIVE,VOLUMEUP,Received NEC: address=0x44C1, command=0xBA45 command_repeats=1
CREATIVE,VOLUMEDOWN,Received NEC: address=0x44C1, command=0x3AC5 command_repeats=1
CREATIVE,MODE,Received NEC: address=0x44C1, command=0xB24D command_repeats=1
CREATIVE,SKIPBACK,Received NEC: address=0x44C1, command=0x5AA5 command_repeats=1
CREATIVE,PLAY,Received NEC: address=0x44C1, command=0xF20D command_repeats=1
CREATIVE,PAUSE,Received NEC: address=0x44C1, command=0xF20D command_repeats=1
CREATIVE,SKIPFORWARD,Received NEC: address=0x44C1, command=0xDA25 command_repeats=1
