#* Remote control CODEs captured on ESP IR receiver with dump NEC enabled
# Button names starting with "??" are not on remote, but remote behavior reflects it
# Pawelo, 20241219, Capturing Apple TV and Smart TV remote codes
# Pawelo, 20241220, Capturing LG TV, Yamaha AV and Yamaha BD remote codes
# Pawelo, 20241220, Capturing CREATIVE remote codes

Remote Model,Button,CODE sent by remote
Yamaha A810 (RAV447) - Main ZONE,DOCK,Received NEC: address=0x017F, command=0xB54A command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,TUNER,Received NEC: address=0x857A, command=0xE916 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,PHONO,Received NEC: address=0x857A, command=0xEB14 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,NET,Received NEC: address=0x017F, command=0xC03F command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,USB,Received NEC: address=0x017F, command=0x0D72 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,FM,Received NEC: address=0x017F, command=0x2758 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,AM,Received NEC: address=0x017F, command=0x2A55 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,INFO,Received NEC: address=0x857A, command=0x5827 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,MEMORY,Received NEC: address=0x017F, command=0x1867 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,CHANNELUP,Received NEC: address=0x017F, command=0x245B command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,CHANNELDOWN,Received NEC: address=0x017F, command=0x215E command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,TUNINGUP,Received NEC: address=0x017F, command=0x1E61 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,TUNINGDOWN,Received NEC: address=0x017F, command=0x1B64 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,MOVIE,Received NEC: address=0x857A, command=0x7788 command_repeats=1, not working on zone 2
Yamaha A810 (RAV447) - Main ZONE,MUSIC,Received NEC: address=0x857A, command=0x7689 command_repeats=1, not working on zone 2
Yamaha A810 (RAV447) - Main ZONE,SURROUND,Received NEC: address=0x857A, command=0x728D command_repeats=1, not working on zone 2
Yamaha A810 (RAV447) - Main ZONE,STRAIGHT,Received NEC: address=0x857A, command=0xA956 command_repeats=1, not working on zone 2
Yamaha A810 (RAV447) - Main ZONE,ENHANCER,Received NEC: address=0x857A, command=0x6B94 command_repeats=1, not working on zone 2
Yamaha A810 (RAV447) - Main ZONE,PURE_DIRECT,Received NEC: address=0x857A, command=0x22DD command_repeats=1, not working on zone 2
Yamaha A810 (RAV447) - Main ZONE,PARTY,Received NEC: address=0x857A, command=0xCB34 command_repeats=1, same code on zone 2
Yamaha A810 (RAV447) - Main ZONE,SLEEP,Received NEC: address=0x857A, command=0xCF30 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,SCENE_DVD,Received NEC: address=0x857A, command=0x7F00 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,SCENE_TV,Received NEC: address=0x857A, command=0x7C03 command_repeats=1
Yamaha A810 (RAV447) - Main ZONE,SCENE_CD,Received NEC: address=0x857A, command=0x7906 command_repeats=1
